,PERIOD_START_TIME,SECTOR,REGION,RRC_SETUP_SR_ALL,RAB_EST_SR_CS,W2G_IRAT/IF_HO_SR,DROP_CALL_RATE,IF_HOSR,RAB_DROP_RATE_HSDPA,RAB_DROP_RATE_EUL,AVERAGE_UL_RSSI_DBM,RAB_SETUP_SUCC_RATE_PS,EUL_MAC_USER_THR_KBPS,HSDPA_MAC_HS_USER_THR_NET,PAGING_INTENSITY(PPS/CELL),3G_LOAD
4723,2/27/2021,UT2139XB,R3,99.7724,99.876,84.7458,0.5720000000000001,42.8571,0.1829,0.182,-103.5867,99.7925,635.937173,2955.07757,0,508.07471796870004
4724,2/27/2021,UT2169XC,R3,99.6807,100.0,98.9796,0.0314,43.75,0.1829,0.1644,-102.8267,99.8889,470.396125,2695.0487510000003,0,590.160218548288
4725,2/27/2021,UT2194XC,R3,99.8383,99.9834,92.8571,0.0516,94.9153,0.098,0.1019,-103.1967,99.9305,466.098521,3252.719588,0,818.5249571607001
4726,2/27/2021,UT2239XA,R3,99.7677,100.0,98.2759,0.2083,93.1937,0.1639,0.1821,-103.5533,99.9115,409.744185,3167.6081280000003,0,677.5871738666
4727,2/27/2021,UT2257XB,R3,99.6861,99.965,97.2973,0.0965,45.7627,0.2319,0.2033,-103.05,99.9202,486.967563,2977.516599,0,1231.80066549163
4728,2/27/2021,UT2259XC,R3,99.9069,100.0,97.8261,0.0551,94.0299,0.1081,0.0903,-104.4867,99.9561,481.363701,2861.441015,0,601.674861781825
4729,2/27/2021,UT2038XB,R1,99.9626,99.9795,100.0,0.0327,100.0,0.0172,0.0154,-105.195,99.8596,384.923114,2054.383414,0,451.2173766673
4730,2/27/2021,UT2099XG,R3,99.7683,100.0,100.0,0.0,100.0,0.0132,0.0159,-105.53,100.0,603.353922,3274.288837,0,76.34950477779999
4731,2/27/2021,UT2135XC,R3,99.8559,99.9719,100.0,0.0743,71.4286,0.0822,0.08,-102.5733,99.9184,488.710351,3316.500599,0,1188.5433427873
4732,2/27/2021,UT2165XE,R3,99.7217,100.0,100.0,0.0,100.0,0.0288,0.0,-106.23,99.6094,546.157739,2911.071941,0,32.6443445007
4733,2/27/2021,UT2182XD,R3,99.8382,99.9525,96.5517,0.0763,62.5,0.096,0.109,-102.41,99.95200000000001,535.591171,2911.527939,0,398.3906651126
4734,2/27/2021,UT2219XA,R3,99.9015,100.0,100.0,0.0,87.5,0.0873,0.0807,-101.8867,99.8657,548.531976,3804.914236,0,426.7440401905
4735,2/27/2021,UT2239XB,R3,99.6321,99.9644,95.8046,0.3479,94.4953,0.6084,0.5628,-97.27,99.8055,251.75814,1131.42067,0,2868.26465105461
4736,2/27/2021,UT2262XB,R3,99.9234,99.9461,100.0,0.0166,94.0476,0.0434,0.0601,-103.37,99.8767,361.860516,3096.404644,0,1068.91942583428
4737,2/27/2021,UT2264XB,R3,99.8363,99.9749,91.9811,0.1044,97.4944,0.1602,0.1502,-103.0867,99.9151,473.27114000000006,2344.6849899999997,0,1320.32405286475
4738,2/27/2021,UT2266XB,R3,99.5312,99.9722,91.7431,0.146,100.0,0.1519,0.1278,-104.7533,99.9371,471.99329000000006,2289.625318,0,593.6616344865
4739,2/27/2021,UT2267XA,R3,99.8692,99.9763,95.28299999999999,0.2141,62.4309,0.1806,0.2189,-100.7433,99.9101,331.757199,1181.204174,0,1932.9356574832
